countryCode,countryName,undernourished,under5mortality,sanitation,electricity,lifeExpectancy,healthExpenditure,maternalMortality,LDC,undernourished2000,undernourished2001,undernourished2002,undernourished2003,undernourished2004,undernourished2005,undernourished2006,undernourished2007,undernourished2008,undernourished2009,undernourished2010,undernourished2011,undernourished2012,undernourished2013,undernourished2014,undernourished2015,undernourished2016,under5_1960,under5_1961,under5_1962,under5_1963,under5_1964,under5_1965,under5_1966,under5_1967,under5_1968,under5_1969,under5_1970,under5_1971,under5_1972,under5_1973,under5_1974,under5_1975,under5_1976,under5_1977,under5_1978,under5_1979,under5_1980,under5_1981,under5_1982,under5_1983,under5_1984,under5_1985,under5_1986,under5_1987,under5_1988,under5_1989,under5_1990,under5_1991,under5_1992,under5_1993,under5_1994,under5_1995,under5_1996,under5_1997,under5_1998,under5_1999,under5_2000,under5_2001,under5_2002,under5_2003,under5_2004,under5_2005,under5_2006,under5_2007,under5_2008,under5_2009,under5_2010,under5_2011,under5_2012,under5_2013,under5_2014,under5_2015,under5_2016,under5_2017,lifeExpectancy1960,lifeExpectancy1961,lifeExpectancy1962,lifeExpectancy1963,lifeExpectancy1964,lifeExpectancy1965,lifeExpectancy1966,lifeExpectancy1967,lifeExpectancy1968,lifeExpectancy1969,lifeExpectancy1970,lifeExpectancy1971,lifeExpectancy1972,lifeExpectancy1973,lifeExpectancy1974,lifeExpectancy1975,lifeExpectancy1976,lifeExpectancy1977,lifeExpectancy1978,lifeExpectancy1979,lifeExpectancy1980,lifeExpectancy1981,lifeExpectancy1982,lifeExpectancy1983,lifeExpectancy1984,lifeExpectancy1985,lifeExpectancy1986,lifeExpectancy1987,lifeExpectancy1988,lifeExpectancy1989,lifeExpectancy1990,lifeExpectancy1991,lifeExpectancy1992,lifeExpectancy1993,lifeExpectancy1994,lifeExpectancy1995,lifeExpectancy1996,lifeExpectancy1997,lifeExpectancy1998,lifeExpectancy1999,lifeExpectancy2000,lifeExpectancy2001,lifeExpectancy2002,lifeExpectancy2003,lifeExpectancy2004,lifeExpectancy2005,lifeExpectancy2006,lifeExpectancy2007,lifeExpectancy2008,lifeExpectancy2009,lifeExpectancy2010,lifeExpectancy2011,lifeExpectancy2012,lifeExpectancy2013,lifeExpectancy2014,lifeExpectancy2015,lifeExpectancy2016,sanitation2000,sanitation2001,sanitation2002,sanitation2003,sanitation2004,sanitation2005,sanitation2006,sanitation2007,sanitation2008,sanitation2009,sanitation2010,sanitation2011,sanitation2012,sanitation2013,sanitation2014,sanitation2015,electricity1990,electricity1991,electricity1992,electricity1993,electricity1994,electricity1995,electricity1996,electricity1997,electricity1998,electricity1999,electricity2000,electricity2001,electricity2002,electricity2003,electricity2004,electricity2005,electricity2006,electricity2007,electricity2008,electricity2009,electricity2010,electricity2011,electricity2012,electricity2013,electricity2014,electricity2015,electricity2016,healthExpenditure2000,healthExpenditure2001,healthExpenditure2002,healthExpenditure2003,healthExpenditure2004,healthExpenditure2005,healthExpenditure2006,healthExpenditure2007,healthExpenditure2008,healthExpenditure2009,healthExpenditure2010,healthExpenditure2011,healthExpenditure2012,healthExpenditure2013,healthExpenditure2014,healthExpenditure2015,maternal1990,maternal1991,maternal1992,maternal1993,maternal1994,maternal1995,maternal1996,maternal1997,maternal1998,maternal1999,maternal2000,maternal2001,maternal2002,maternal2003,maternal2004,maternal2005,maternal2006,maternal2007,maternal2008,maternal2009,maternal2010,maternal2011,maternal2012,maternal2013,maternal2014,maternal2015
FRA,France,2.5,4.2,NA,NA,82.27317073,4026.147179,8,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,28.5,27,25.7,24.5,23.3,22.3,21.4,20.6,19.9,19.1,18.2,17.4,16.6,16,15.4,14.9,14.4,13.9,13.4,12.8,12.4,11.9,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.3,9,8.6,8.1,7.5,7,6.5,6.1,5.8,5.6,5.5,5.4,5.2,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4.2,4.2,4.2,69.86829268,70.11707317,70.31463415,70.51463415,70.66341463,70.81219512,70.96097561,71.16097561,71.3097561,71.45853659,71.65853659,71.90731707,72.10731707,72.35609756,72.60487805,72.85365854,73.10243902,73.35121951,73.60243902,73.85121951,74.05121951,74.3,74.5,74.8,75,75.3,75.6,75.8,76.1,76.34878049,76.6,76.84878049,77.1,77.3,77.64878049,77.75121951,77.95365854,78.30487805,78.60487805,78.75609756,79.05609756,79.15853659,79.26097561,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,81.96829268,82.2195122,82.67073171,82.27317073,82.27317073,98.6630282,98.66225478,98.66149043,98.6607291,98.6599708,98.65922457,98.65847835,98.65774119,98.65700705,98.65627593,98.65555388,98.65483182,98.65411883,98.65340886,98.65270191,98.65200403,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2156.483253,2190.798774,2438.246769,2999.567388,3452.430338,3573.602553,3693.584291,4168.034547,4614.26543,4523.594551,4385.429864,4725.351304,4447.746434,4679.11465,4779.179428,4026.147179,15,15,15,15,14,15,14,13,13,12,12,12,11,11,10,10,10,10,10,10,9,9,9,9,9,8
FRO,Faroe Islands,NA,NA,NA,NA,82.24146341,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.49756098,NA,NA,NA,NA,75.98536585,NA,NA,NA,NA,NA,NA,NA,75.26585366,75.46585366,75.71463415,75.91463415,76.11463415,76.41463415,76.61463415,76.91463415,77.16585366,77.41707317,77.6195122,77.82195122,78.02682927,78.2804878,78.48536585,78.63902439,78.84146341,78.94146341,79.14146341,79.34146341,79.63902439,79.88780488,80.18780488,80.38780488,80.63658537,80.88780488,81.18780488,81.43902439,81.6902439,81.9902439,82.24146341,NA,NA,NA,NA,NA,NA,NA,90.88347572,90.88347572,90.88347572,90.88347572,90.88347572,90.88347572,90.88347572,90.88347572,90.88347572,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,"Micronesia, Fed. Sts.",NA,32.2,NA,NA,69.195,394.8772898,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,57.5,58.1,58.5,58.5,58.1,57.5,56.6,55.8,55.1,54.7,54.6,54.6,54.9,55.1,55.4,55.5,55.2,54.5,53.5,52.4,51.1,49.8,48.4,47,45.6,44.2,42.7,41.4,40.2,38.9,37.7,36.5,35.3,34.2,33.1,32.2,57.58,57.98,58.379,58.777,59.176,59.576,59.979,60.386,60.797,61.211,61.634,62.071,62.519,62.971,63.419,63.843,64.225,64.552,64.817,65.021,65.171,65.28,65.368,65.452,65.541,65.641,65.752,65.868,65.983,66.098,66.212,66.325,66.439,66.552,66.665,66.776,66.884,66.99,67.092,67.195,67.3,67.414,67.539,67.675,67.82,67.969,68.115,68.251,68.375,68.484,68.582,68.673,68.765,68.862,68.966,69.078,69.195,NA,NA,NA,NA,NA,NA,56.246428,56.243999,56.241917,56.239835,56.237406,56.239141,56.243999,56.252674,56.265166,NA,28.03698158,29.92145157,31.80541229,33.68631363,35.56109619,37.42670441,39.28007126,41.11814499,42.93786621,44.73617172,46,48.26846695,50.01306534,51.75137711,53.48947144,55.23340607,56.98924255,58.76305389,60.55938339,62.3767395,64.53152025,66.06251526,67.92493439,69.7963562,71.67379761,73.55422974,75.43517303,168.4108087,189.3203938,177.5257751,218.7334295,234.681967,270.9129346,256.0289164,270.4691753,299.4965447,338.0844556,371.0398008,387.4797039,377.3173724,363.4613604,379.111955,394.8772898,183,179,175,173,169,166,164,161,159,156,153,150,148,143,139,134,130,126,122,118,115,110,107,104,102,100
GAB,Gabon,9.4,48.3,NA,NA,66.105,197.9447153,291,0,10.5,10.8,11.3,11.4,11.2,10.9,11,11.2,11.5,11.3,10.8,10,9.4,9,8.8,9.1,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.6,121.2,117,112.8,109.2,105.6,102.6,100,97.7,96,94.5,93.4,92.4,91.4,90.7,89.9,89.1,88.4,87.5,86.6,85.6,84.4,83.1,81.6,80,78.3,76.5,74.5,72.7,70.5,68.2,65.6,63.3,61.2,59,56.9,54.6,52.5,50.1,48.3,39.587,39.946,40.392,40.944,41.606,42.367,43.204,44.082,44.966,45.842,46.698,47.535,48.363,49.19,50.018,50.846,51.676,52.51,53.344,54.177,55.014,55.864,56.722,57.574,58.398,59.162,59.832,60.382,60.798,61.075,61.215,61.23,61.152,61.012,60.832,60.619,60.372,60.095,59.804,59.527,59.302,59.171,59.154,59.266,59.512,59.89,60.388,60.969,61.597,62.247,62.893,63.519,64.119,64.686,65.211,65.685,66.105,39.01483459,39.1410164,39.26833356,39.39652465,39.52529554,39.65458452,39.78402334,39.91347051,40.04274034,40.17166998,40.30020359,40.42797155,40.5550421,40.68125105,40.80635005,40.93038599,64.61288452,65.70444489,66.79550171,67.88349915,68.96537018,70.03807068,71.09853363,72.14369965,73.17051697,74.17591858,73.6,76.12239838,77.07408905,78.0194931,78.96468353,81.6,80.87863922,81.85954285,82.86296082,83.88741302,84.92988586,85.98738098,89.3,86.4,89.21994019,90.30747223,91.39550018,119.3704973,127.7072117,132.3782134,169.5849571,185.9572354,187.3504217,204.2266756,240.767769,257.6278393,263.3978945,216.7141215,274.0899973,236.6305118,274.9890725,245.485328,197.9447153,422,418,411,408,408,405,403,397,401,402,405,402,399,389,372,370,367,350,335,327,322,317,314,308,295,291
GBR,United Kingdom,2.5,4.3,NA,NA,80.95609756,4355.805764,9,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,26.6,26.1,25.6,24.9,24.2,23.4,22.8,22.2,21.8,21.4,21,20.6,20,19.4,18.7,18,17.2,16.5,15.7,14.9,14.1,13.4,12.7,12.2,11.7,11.4,11.1,10.8,10.4,9.9,9.3,8.7,8.2,7.7,7.4,7.2,7,6.9,6.8,6.7,6.5,6.4,6.3,6.3,6.2,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6,4.5,4.5,4.4,4.3,71.12682927,70.87804878,70.92682927,70.82682927,71.62439024,71.62439024,71.57317073,72.12439024,71.72439024,71.72195122,71.97317073,72.27317073,72.12439024,72.32439024,72.52439024,72.72439024,72.77560976,73.22439024,73.17560976,73.27560976,73.67560976,74.02682927,74.17804878,74.37804878,74.77804878,74.62926829,74.92926829,75.2804878,75.3804878,75.58292683,75.8804878,76.08292683,76.43414634,76.38536585,76.88536585,76.83658537,77.08780488,77.21097561,77.1902439,77.3902439,77.74146341,77.99268293,78.14390244,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,80.95609756,99.12998593,99.12954755,99.12824996,99.12696989,99.1256986,99.12444484,99.12319985,99.12197239,99.1207537,99.11955254,99.11836454,99.11718969,99.11603237,99.11490136,99.11379226,99.11270947,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1672.524962,1736.492391,1964.81108,2347.64907,2835.760231,3017.104365,3262.574646,3756.330974,3615.617554,3272.640546,3306.786792,3501.483299,3532.055053,4193.71878,4566.65015,4355.805764,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,11,11,11,10,10,10,10,9,9,9
GEO,Georgia,7.4,10.8,NA,NA,73.261,280.9128658,36,0,13.5,13.6,11.4,9.2,7.9,7.2,7,6.8,6.7,7,7.7,8.1,8,7.6,7.5,7.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,66,64.1,62,60.1,58.2,56.6,54.9,53.4,52.1,51,50,49.3,48.7,48.2,47.7,47.1,46.6,45.9,45,44,42.7,41.2,39.5,37.5,35.4,33.1,30.9,28.7,26.5,24.4,22.5,20.8,19.2,17.8,16.6,15.5,14.5,13.6,12.8,12.1,11.4,10.8,63.651,64.058,64.468,64.88,65.291,65.694,66.083,66.454,66.805,67.136,67.452,67.766,68.082,68.401,68.718,69.014,69.266,69.461,69.592,69.665,69.7,69.726,69.768,69.844,69.954,70.083,70.204,70.288,70.323,70.311,70.268,70.22,70.196,70.222,70.307,70.462,70.687,70.966,71.274,71.596,71.907,72.182,72.408,72.575,72.682,72.73,72.73,72.704,72.673,72.65,72.649,72.68,72.742,72.832,72.951,73.096,73.261,96.54953308,96.19155536,95.36174589,94.53418882,93.70848149,92.8846239,92.06229272,91.24120333,90.42168151,89.60986463,88.80801,88.01089191,87.21820761,86.4302912,85.64945836,84.87671725,97.33401489,97.51725006,97.69996643,97.87963104,98.04629517,98.20836639,98.35820007,98.49276733,98.60926056,98.70584106,98.78269196,98.84263611,99.9,98.93213654,98.97354126,97.93505412,99.0796051,99.15492249,99.2495575,99.36373138,99.49563599,99.64033508,100,99.89849854,100,99.99349976,100,47.90107049,50.79815136,59.08507345,71.91230442,94.03149353,118.6558506,136.7833193,177.2472186,255.9173836,246.9774867,262.526721,290.412414,323.0097784,334.9199339,348.8296876,280.9128658,34,31,30,27,34,35,36,37,37,37,37,36,37,37,37,37,37,38,37,39,40,39,39,38,37,36
GHA,Ghana,6.1,49.3,NA,NA,62.742,79.5882796,319,0,15.6,13.6,12,11,10.1,9.3,8.3,7.3,6.3,5.6,5.3,5.5,5.9,6.3,6.4,6.3,6.1,209.4,207,205.2,203.8,202.8,202.5,202.5,202.7,202.8,202.6,201.9,200.6,198.3,195.2,190.8,185.8,180.7,175.7,171.4,168.1,165.8,164.2,162.7,160.9,158,154,149.1,143.4,137.4,131.7,126.5,122.1,118.7,116,114,112.2,110.3,108.1,105.5,102.5,99.2,95.9,92.8,90.1,87.8,85.7,83.7,81.5,78.9,75.9,72.4,68.9,65.2,61.5,58,54.7,51.8,49.3,45.844,46.28,46.697,47.094,47.47,47.824,48.156,48.469,48.768,49.056,49.339,49.623,49.911,50.204,50.505,50.809,51.11,51.405,51.693,51.977,52.268,52.575,52.907,53.272,53.67,54.111,54.605,55.14,55.697,56.251,56.755,57.16,57.439,57.583,57.598,57.507,57.347,57.171,57.032,56.962,56.994,57.147,57.41,57.761,58.187,58.666,59.167,59.663,60.128,60.55,60.924,61.254,61.561,61.86,62.154,62.448,62.742,11.16384757,11.38076123,11.59655073,11.81121005,12.02484181,12.23700653,12.44802707,12.65779179,12.86629771,13.07323097,13.27900804,13.48331806,13.68566101,13.88575609,14.08363032,14.27950593,23.53626251,25.68720436,27.83763504,30.6,32.12625885,34.25833893,36.37817764,38.48272324,42.6,42.63368607,44.67551041,46.69892502,48.70999146,48.3,52.71933746,54.72974396,55.09345008,58.7923317,60.5,62.93895721,65.04080963,64.06256,69.28656006,70.7,78.3,75.71527863,79.3,21.85015629,24.84251415,25.40023553,30.83072784,35.1658443,51.24319273,56.99034369,67.49379964,78.44189486,70.70895365,85.54368917,95.92606699,88.99614253,104.6270798,76.75251824,79.5882796,634,600,569,551,535,532,527,515,501,487,467,449,437,420,396,376,358,345,337,330,325,320,324,321,322,319
GIB,Gibraltar,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,Guinea,19.7,85.7,NA,NA,60.015,25.13424009,679,1,26.3,25.5,24.7,23.8,22.5,21.3,20.2,19.3,18.5,18,17.6,17.3,16.9,16.8,17,18.5,19.7,NA,NA,NA,NA,NA,NA,334.6,331.8,328.7,325.6,322.5,319.2,316,312.6,309.1,305.1,300.9,296.4,291.8,286.9,282,277.2,272.5,268,263.4,258.7,254.2,249.7,244.9,239.9,234.6,228.7,222.5,215.9,209.1,202,195,187.8,180.5,173,165.4,157.8,150.4,143.5,137.1,131.4,126.1,121.3,116.8,112.7,108.8,105.1,101.6,98.2,94.9,91.7,88.7,85.7,34.89,35.086,35.266,35.432,35.588,35.74,35.891,36.048,36.222,36.421,36.656,36.933,37.255,37.623,38.039,38.498,38.993,39.517,40.068,40.65,41.279,41.977,42.753,43.607,44.522,45.482,46.463,47.434,48.359,49.208,49.949,50.557,51.032,51.381,51.61,51.717,51.701,51.592,51.434,51.273,51.181,51.229,51.451,51.859,52.444,53.17,53.972,54.775,55.521,56.185,56.765,57.282,57.782,58.301,58.846,59.419,60.015,9.105087318,9.945848032,10.78857177,11.63365163,12.48090726,13.33054178,14.18237412,15.03660812,15.89286846,16.7517464,17.61267203,18.47604415,19.34167953,20.20958886,21.0797828,21.95227203,6.429067135,7.474211216,8.518845558,9.560420036,10.59587669,11.62215614,12.636199,13.63494682,14.61533928,16.4,16.51034546,17.42796135,18.33323097,19.23221779,20.13098335,20.2,21.95210457,22.88658714,23.84358788,24.82161713,25.81767082,26.82874298,26.2,28.88393211,29.92204094,30.96315193,33.5,16.95452491,16.48102509,19.29929056,18.66372868,17.77384111,13.73113129,12.64381548,18.74588897,18.6329779,18.686462,19.50076044,23.30078358,22.9440726,25.13110881,24.20998981,25.13424009,1040,1010,982,973,967,964,972,975,977,979,976,973,961,928,882,831,791,770,743,731,720,711,695,695,688,679
GMB,"Gambia, The",9.6,63.6,NA,NA,61.193,31.87894155,706,1,13.1,12.9,13.8,14.6,15.1,15.1,14.5,12.9,11.3,10,9.3,9.1,9.4,9.7,9.9,9.8,9.6,360.6,354.1,348,341.9,335.8,329.8,324.1,318.1,312.2,306.5,300.4,294,287.9,281.6,275,268.5,261.8,255.5,249.4,243.5,237.3,231,224.6,217.7,210.8,203.8,196.6,189.6,182.9,176.4,170.1,164.1,158.1,152.6,147.2,142,136.9,132.1,127.5,122.9,118.4,114,109.7,105.5,101.4,97.5,93.7,90.1,86.9,83.8,80.8,78,75.3,72.8,70.2,67.9,65.8,63.6,32.035,32.317,32.651,33.05,33.523,34.076,34.711,35.417,36.178,36.985,37.824,38.685,39.556,40.429,41.293,42.146,42.989,43.827,44.66,45.483,46.293,47.087,47.86,48.603,49.308,49.958,50.537,51.042,51.476,51.849,52.176,52.481,52.786,53.11,53.461,53.844,54.254,54.676,55.097,55.513,55.924,56.329,56.732,57.132,57.527,57.914,58.289,58.648,58.991,59.316,59.622,59.911,60.187,60.452,60.707,60.954,61.193,55.21596573,54.17553458,53.15676885,52.15970444,51.18495992,50.23177194,49.29927724,48.38662868,47.49297356,46.61738236,45.75901434,44.91694916,44.09028903,43.27813614,42.47959271,41.69376093,16.23235321,17.50630569,18.77974892,17.7,21.31439972,22.56948662,23.81233978,25.03989601,26.24909782,27.43688583,34.3,29.74814606,30.88222504,32.01002121,33.13759613,30.4562675,35.41633606,36.57962418,37.76543808,38.97227478,40.19713593,41.43701935,42.68891525,44.5,45.21674347,46.48666382,47.75708771,23.00798367,20.11997444,16.57744763,15.2053107,18.05745941,21.21098413,24.01049394,29.68015471,35.96464608,31.7608044,32.28450882,32.1282834,30.98698036,29.88498261,31.01433156,31.87894155,1030,1030,1020,1010,994,977,961,943,931,910,887,869,854,841,822,807,798,789,774,767,753,753,741,730,719,706
GNB,Guinea-Bissau,26,84.2,NA,NA,57.403,39.4753081,549,1,25.7,24.4,24.2,24.5,24.6,24.4,24.1,23.7,23.3,22.8,22.2,22.2,22.8,24.1,25.4,26.1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.5,240,236,232,228,223.9,219.7,215.2,210.8,206.2,201.3,196.4,191.4,186.2,181.1,175.8,170.2,164.3,158.2,151.9,145.5,139,132.4,126,119.8,113.8,108.2,103,98.4,94.5,90.7,87.4,84.2,37.854,38.157,38.481,38.828,39.195,39.58,39.975,40.372,40.767,41.155,41.538,41.917,42.295,42.679,43.068,43.465,43.873,44.292,44.717,45.146,45.569,45.979,46.369,46.737,47.084,47.414,47.734,48.054,48.381,48.718,49.071,49.441,49.825,50.213,50.599,50.969,51.306,51.604,51.86,52.079,52.27,52.45,52.636,52.845,53.084,53.357,53.663,53.991,54.333,54.687,55.05,55.424,55.807,56.2,56.598,57,57.403,11.96687588,12.55853001,13.15726289,13.76315127,14.37604269,14.99507468,15.62145407,16.25454118,16.89438399,17.54029487,18.19303821,18.84662357,19.50137826,20.15636518,20.81139244,21.46600375,0.009999999776,0.2657494545,0.5416867137,1.192769289,1.837733626,2.473520517,3.097071171,3.705326319,4.295226574,4.863713264,5.409247398,5.936371803,6.451149464,6.959643364,7.467916489,7.982031822,14.5361991,9.052042007,9.618552208,4.7,6,11.43223,12.06482601,12.70643425,17.2,14.00467014,14.65579033,21.17351847,18.83120334,15.99691112,20.4598624,27.02982925,26.65665676,26.93103317,32.75365931,39.94322504,35.81578526,33.54942086,37.36944936,31.16447274,32.1737251,43.89107604,39.4753081,907,877,848,825,799,780,777,776,782,788,800,799,793,775,745,714,679,643,614,587,570,563,553,554,553,549
GNQ,Equatorial Guinea,NA,89.6,NA,NA,57.681,279.9981499,342,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,195.2,191.3,188.1,185.4,183.1,181.5,180,178.7,177.2,175.9,174.7,173.3,171.8,169.8,167.2,164.1,160.5,156.4,152.4,148,143.7,139.3,134.8,130.4,126,121.6,117.3,113.5,109.8,106.4,102.8,99.3,96,92.8,89.6,36.74,37.041,37.342,37.642,37.942,38.242,38.542,38.842,39.142,39.443,39.738,40.019,40.288,40.55,40.818,41.122,41.493,41.95,42.493,43.111,43.772,44.434,45.054,45.604,46.074,46.469,46.81,47.135,47.473,47.838,48.239,48.677,49.142,49.62,50.104,50.588,51.062,51.521,51.959,52.371,52.752,53.099,53.415,53.709,53.987,54.262,54.55,54.858,55.19,55.543,55.908,56.265,56.601,56.905,57.18,57.434,57.681,80.17827609,79.73664962,79.29494842,78.85355003,78.41264962,77.97255024,77.53346779,77.09564516,76.65938332,76.22481518,75.79230604,75.36211748,74.93434501,74.50939133,74.52304565,74.53794939,58.59144211,59.01051712,59.42907715,59.8445816,60.25396729,60.6541748,61.04214859,61.41482162,61.76914597,62.10205078,62.41200638,62.70355225,62.98274994,63.25566483,63.52836227,63.80689621,64.09733582,64.40574646,64.73667908,65.08863831,65.45861816,66.1,66.24063873,66.64666748,67.05870819,67.47374725,67.88928986,50.7635907,57.79962671,31.54472781,47.68063201,68.14841619,79.80082055,187.1235796,232.3400579,300.0295983,278.8632316,262.5162618,289.3460153,311.4180747,349.3512309,337.2550541,279.9981499,1310,1290,1260,1230,1170,1050,949,876,818,751,702,659,611,564,523,483,450,426,408,391,379,364,361,356,351,342
GRC,Greece,2.5,5.3,NA,NA,81.03658537,1504.759697,3,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,46.5,45.3,43.9,42.4,41.1,39.8,38.6,37.2,35.6,33.5,31.3,29.4,28.2,27.6,27.1,26.2,25.1,23.8,22.4,20.9,19.5,18.2,17.1,16.2,15.4,14.6,13.7,12.8,11.9,11.1,10.4,9.9,9.5,9.1,8.8,8.5,8.1,7.7,7.3,6.9,6.4,6,5.6,5.2,4.9,4.6,4.3,4.1,4,3.9,3.9,3.9,4,4.2,4.4,4.8,5.1,5.3,68.16390244,68.54863415,68.89226829,69.18570732,69.42943902,69.638,69.83746341,70.05246341,70.30256098,70.58929268,70.90363415,71.22656098,71.535,71.81485366,72.06463415,72.29370732,72.51956098,72.76165854,73.03107317,73.32936585,73.64714634,73.9694878,74.279,74.56585366,74.82912195,75.0785122,75.32970732,75.59814634,75.8912439,76.68780488,76.93902439,77.13658537,77.38292683,77.3902439,77.63902439,77.58536585,77.68536585,78.13658537,77.83902439,77.98780488,77.88780488,78.38780488,78.64146341,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.03658537,96.5540048,96.72183461,96.89822153,97.07206667,97.24349513,97.41240067,97.57886694,97.74296556,97.90472364,98.06410956,98.21400258,98.31152594,98.40624995,98.49821237,98.58750349,98.96396396,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,885.4104608,1003.93696,1163.33169,1516.479445,1743.958342,2032.053588,2226.551421,2614.6776,3007.150751,2816.126306,2573.822453,2353.970674,1944.829291,1817.021958,1715.770595,1504.759697,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
